Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Mercedes-Benz,A 45 AMG,10/2024,1 588 760 Kč,1 km,309 kW,Benzín,7.2 l/100km,Automat
Volkswagen,T6 Transporter,10/2022,792 760 Kč,90 808 km,110 kW,Diesel,6.6 l/100km,Automat
Ford,Explorer,12/2024,1 070 760 Kč,0 km,210 kW,Elektro,,Automat
Mercedes-Benz,C 300,1/2024,1 050 760 Kč,2 034 km,230 kW,Hybrid,,Automat
Nissan,NV300,10/2020,392 760 Kč,92 264 km,125 kW,Diesel,5.6 l/100km,Manuál
Cupra,Tavascan,8/2024,1 280 760 Kč,10 160 km,250 kW,Elektro,16.8 kWh/100km,Automat
Mercedes-Benz,E 300,3/2024,1 172 260 Kč,7 729 km,225 kW,Hybrid,,Automat
Subaru,Solterra,10/2024,992 760 Kč,2 200 km,160 kW,Elektro,,Automat
Opel,Ampera-e,12/2019,364 260 Kč,86 419 km,150 kW,Elektro,,Automat
Genesis,GV60,2/2022,1 233 260 Kč,18 442 km,360 kW,Elektro,,Automat
Tesla,Model 3,8/2019,613 260 Kč,94 664 km,350 kW,Elektro,,Automat
Toyota,Proace,12/2022,577 260 Kč,13 199 km,100 kW,Elektro,25.1 kWh/100km,Automat
Mercedes-Benz,B 180,9/2013,296 260 Kč,124 500 km,90 kW,Benzín,5.7 l/100km,Automat
Opel,Movano,2/2022,438 760 Kč,153 000 km,121 kW,Diesel,7.8 l/100km,Manuál
Fiat,500X,2/2023,579 760 Kč,1 km,97 kW,Diesel,5.3 l/100km,Manuál
Fiat,Tipo,6/2024,488 760 Kč,20 km,97 kW,Hybrid,5.2 l/100km,Automat
Tesla,Model Y,7/2023,1 031 760 Kč,27 200 km,378 kW,Elektro,,Automat
Porsche,Cayenne,3/2019,1 005 760 Kč,93 000 km,324 kW,Benzín,11.8 l/100km,Automat
BMW,530,1/2022,787 260 Kč,75 880 km,185 kW,Benzín,6.2 l/100km,Automat
Cupra,Tavascan,2/2025,1 205 260 Kč,20 km,250 kW,Elektro,16.6 kWh/100km,Automat
Citroën,C4,8/2023,601 260 Kč,130 km,100 kW,Elektro,15.3 kWh/100km,Automat
Mercedes-Benz,Vito,6/2018,534 760 Kč,154 894 km,100 kW,Diesel,6.6 l/100km,Automat
Renault,Trafic,9/2019,379 260 Kč,155 600 km,88 kW,Diesel,6.6 l/100km,Manuál
